image,type
D:\dataset\hair\data\curly\Kz_650x650-stylefeen-wash-day-.jpg,0
D:\dataset\hair\data\curly\layered-curly-hair.jpg,0
D:\dataset\hair\data\curly\Leave-it-in-3-8P3A3076.jpg,0
D:\dataset\hair\data\curly\long-curly-hair-for-women.jpg,0
D:\dataset\hair\data\curly\long-curly-hairstyle-for-indian-women-3.jpg,0
D:\dataset\hair\data\curly\long-layered-curly-hair-6.jpg,0
D:\dataset\hair\data\curly\maxresdefault.jpg,0
D:\dataset\hair\data\curly\maxresdefault0.jpg,0
D:\dataset\hair\data\curly\maxresdefault1.jpg,0
D:\dataset\hair\data\curly\Medium-Curly-Hairstyles-for-2018-2019.jpg,0
D:\dataset\hair\data\curly\Meher-mistry-curly-hair1.jpg,0
D:\dataset\hair\data\curly\mhljii00vyxx.jpg,0
D:\dataset\hair\data\curly\model-indian-face-makeup-smile-beauty-curly-hair.jpg,0
D:\dataset\hair\data\curly\M_Id_118957_curly_hair.jpg,0
D:\dataset\hair\data\curly\NaturalCurlyLongHairstylesisextraordinaryforyourstyle.jpg,0
D:\dataset\hair\data\curly\njl3tbj29vc01.jpg,0
D:\dataset\hair\data\curly\NYFL16_Hellessy_00007JPG.jpg,0
D:\dataset\hair\data\curly\original.jpg,0
D:\dataset\hair\data\curly\original2.jpg,0
D:\dataset\hair\data\curly\Parizaad-Khan-curly-hair-kedar-nene1.jpg,0
D:\dataset\hair\data\curly\pexels-photo-2811089.jpeg,0
D:\dataset\hair\data\curly\photo.jpg,0
D:\dataset\hair\data\curly\raw-Indian-Virgin-Hair-Deep-Wave-3-pcs-King-Hair-Indian-Curly-Virgin-Hair-7A-Grade.jpg,0
D:\dataset\hair\data\curly\rs_1080x1080-200330130638-1080-ariana-grande-curly-hair-instagram-am-033020.gif,0
D:\dataset\hair\data\curly\screen-shot-2020-03-24-at-11-23-46-am-1585063518.png,0
D:\dataset\hair\data\curly\selfie-photo-of-cute-curly-haired-caucasian-girl-watching-calmly-into-camera-in-sunny-autumnal-park-T1RPE3.jpg,0
D:\dataset\hair\data\curly\SHAMPOOS-1.png,0
D:\dataset\hair\data\curly\short-curly-hair-layered-bob-black-color.jpg,0
D:\dataset\hair\data\curly\short-curly-hair-middle-part-black-bob.jpg,0
D:\dataset\hair\data\curly\short-curly-hair-with-bangs-1x1-1.jpg,0
D:\dataset\hair\data\curly\short-curly-hairstyles-08.jpg,0
D:\dataset\hair\data\curly\square-1454712473-curly-hair-index.jpg,0
D:\dataset\hair\data\curly\stock-photo-beautiful-girl-with-curly-hair-taking-selfie-512362408.jpg,0
D:\dataset\hair\data\curly\stock-photo-green-eyes-selfie-long-hair-curly-hair-curly-girls-20315906-bbea-49c3-a055-af0cef5a7d66.jpg,0
D:\dataset\hair\data\curly\stock-photo-hair-selfie-model-curly-hair-afro-3fd6e0aa-a1df-464f-a1c4-270c9a79b132.jpg,0
D:\dataset\hair\data\curly\stock-photo-portrait-green-eyes-hair-girl-selfie-woman-hairstyle-curls-brunette-a26fe5fc-9472-4bc9-a281-6753ef6b59d2.jpg,0
D:\dataset\hair\data\curly\stock-photo-travelgirl-with-long-curly-hair-doing-selfie-in-pedestrian-street-pretty-woman-looking-at-camera-673903570.jpg,0
D:\dataset\hair\data\curly\Swirly01.jpg,0
D:\dataset\hair\data\curly\thin-curly-hair-732x549-thumbnail.jpg,0
D:\dataset\hair\data\curly\tp-hairstyles-for-curly-hair.jpg,0
D:\dataset\hair\data\curly\tp-sassy-short-curly-hairstyles-women.jpg,0
D:\dataset\hair\data\curly\tumblr_n0mygkVwrS1rvhtmyo1_500.jpg,0
D:\dataset\hair\data\curly\tumblr_n8vspadxMi1r0k4tgo1_1280.jpg,0
D:\dataset\hair\data\curly\tumblr_nhgozgJrHm1rvhtmyo1_500.jpg,0
D:\dataset\hair\data\curly\Untitled-1.jpg,0
D:\dataset\hair\data\curly\untitled-14.jpg,0
D:\dataset\hair\data\curly\Untitled-8.jpg,0
D:\dataset\hair\data\curly\vaXD13BxZI0V1636041252.jpg,0
D:\dataset\hair\data\curly\vjnh5bqvr2q21.jpg,0
D:\dataset\hair\data\curly\woman20with20curly20hair.jpg,0
D:\dataset\hair\data\curly\YpwvxIBmFJgQ1534351741.jpg,0
D:\dataset\hair\data\dreadlocks\05740e64c1d611e74723ed4103776b71.jpg,1
D:\dataset\hair\data\dreadlocks\0a62ef878341056d842dbde6365f9c4a4.jpg,1
D:\dataset\hair\data\dreadlocks\0fgjhs702ob4uoi75.jpg,1
D:\dataset\hair\data\dreadlocks\1-rihanna-dreadlocks.jpg,1
D:\dataset\hair\data\dreadlocks\11-small-side-swept-dreads-CC7LDipp1aw.jpg,1
D:\dataset\hair\data\dreadlocks\1200px-Man_with_dreadlocks.jpg,1
D:\dataset\hair\data\dreadlocks\1576082765n8k4g.jpg,1
D:\dataset\hair\data\dreadlocks\1576084878g8k4n-700x858.jpg,1
D:\dataset\hair\data\dreadlocks\17-short-dreadlocks-with-edge-undercut.jpg,1
D:\dataset\hair\data\dreadlocks\19-long-hair-locs-with-square-parting-CEDQMZjJnZV.jpg,1
D:\dataset\hair\data\dreadlocks\1c4695aaca4464bf97aa1d4b885009634.jpg,1
D:\dataset\hair\data\dreadlocks\1_600x600_crop_center.jpg,1
D:\dataset\hair\data\dreadlocks\21eb2f6ecfc7526cab5d8619484390a94.jpg,1
D:\dataset\hair\data\dreadlocks\5-loc-style-for-women-CUXCgKxK4jW.jpg,1
D:\dataset\hair\data\dreadlocks\51AWKUH9PL.jpg,1
D:\dataset\hair\data\dreadlocks\534050bea3310063e7c8e2cb889799814.jpg,1
D:\dataset\hair\data\dreadlocks\551a485e4fbe7d0d0df868bd520277b4.jpg,1
D:\dataset\hair\data\dreadlocks\567222c5f2251f660d283d803845d1fc.jpg,1
D:\dataset\hair\data\dreadlocks\58baa8efdf105f1591f34dd7299538294.jpg,1
D:\dataset\hair\data\dreadlocks\6-86391-dreadlocks-maennerperuecke.jpg,1
D:\dataset\hair\data\dreadlocks\64df6f2ed2f888dbd97cdd51006da308.jpg,1
D:\dataset\hair\data\dreadlocks\7-short-dreadlocks-with-undercut-1.jpg,1
D:\dataset\hair\data\dreadlocks\7acd0254d2e02b4a7abd3e172470b83c4.jpg,1
D:\dataset\hair\data\dreadlocks\7e27727cf25c89b9da062cf8dbcf373b4.jpg,1
D:\dataset\hair\data\dreadlocks\81ed4e2f4c50f72c1b97831b0f438c734.jpg,1
D:\dataset\hair\data\dreadlocks\826071080adf98dc66112bfb8d04038a4.png,1
D:\dataset\hair\data\dreadlocks\874dd0c2a9fa80487d1b4e68122851bf.jpg,1
D:\dataset\hair\data\dreadlocks\891fa3403fe119c599ce620bba3690e54.jpg,1
D:\dataset\hair\data\dreadlocks\9-classy-twisted-dreadlock-pony-Ck8oPkjuBVG.jpg,1
D:\dataset\hair\data\dreadlocks\93157e70db3aa9159f4ca837bcfc90a24.png,1
D:\dataset\hair\data\dreadlocks\9e97f7d8c1c66037d83b700e66f190e4.jpg,1
D:\dataset\hair\data\dreadlocks\a5cccdd347ccc2c63cb2bfa782b193644.jpg,1
D:\dataset\hair\data\dreadlocks\amari-allen-01-wjla-jef-190926_hpMain_4x5_992.jpg,1
D:\dataset\hair\data\dreadlocks\banner-4.jpg,1
D:\dataset\hair\data\dreadlocks\best-hair-color-for-dreadlocks-1.jpg,1
D:\dataset\hair\data\dreadlocks\black-man-dreadlocks-8093692.jpg,1
D:\dataset\hair\data\dreadlocks\black-woman-with-dreadlocks-at-brick-wall-F6R2B1.jpg,1
D:\dataset\hair\data\dreadlocks\bldjg0110311.jpg,1
D:\dataset\hair\data\dreadlocks\Blogpost_16.jpg,1
D:\dataset\hair\data\dreadlocks\c314ec2c96c6447aad76d66d9fa47ce0.jpg,1
D:\dataset\hair\data\dreadlocks\Comparison_2048x2048.JPG.jpg,1
D:\dataset\hair\data\dreadlocks\deff3a88b04ee057a218bfd3e89a39e64.jpg,1
D:\dataset\hair\data\dreadlocks\Depositphotos_26946423_l-2015.jpg,1
D:\dataset\hair\data\dreadlocks\Dreadlocks-Hair_1024x1024.jpg,1
D:\dataset\hair\data\dreadlocks\Dreadlocks-maintenance-Perth.jpeg,1
D:\dataset\hair\data\dreadlocks\dreadlocks-styles-for-ladies.jpg,1
D:\dataset\hair\data\dreadlocks\Dreadlocks-Styles.jpg,1
D:\dataset\hair\data\dreadlocks\dreadlocks2.png,1
D:\dataset\hair\data\dreadlocks\dreadlocks3.png,1
D:\dataset\hair\data\dreadlocks\dreadlocks4.jpg,1
D:\dataset\hair\data\dreadlocks\Dreads-enfant-black-1024x1024.jpg,1
D:\dataset\hair\data\dreadlocks\eb4400d75fa458402ce4d9a643d3a32b4.jpg,1
D:\dataset\hair\data\dreadlocks\fb8bbfb130a3ec23982a5a3a31b8f9a5.jpg,1
D:\dataset\hair\data\dreadlocks\front-page-dreadful_500x.jpg,1
D:\dataset\hair\data\dreadlocks\headlock-india-kalyani-nagar-pune-hair-stylists-qdt97u67g3.jpg,1
D:\dataset\hair\data\dreadlocks\how-to-start-dreadlocks.jpg,1
D:\dataset\hair\data\dreadlocks\image.jpg,1
D:\dataset\hair\data\dreadlocks\image10.jpg,1
D:\dataset\hair\data\dreadlocks\image102.jpg,1
D:\dataset\hair\data\dreadlocks\image103.jpg,1
D:\dataset\hair\data\dreadlocks\image104.jpg,1
D:\dataset\hair\data\dreadlocks\image105.jpg,1
D:\dataset\hair\data\dreadlocks\image106.jpg,1
D:\dataset\hair\data\dreadlocks\image107.jpg,1
D:\dataset\hair\data\dreadlocks\image108.jpg,1
D:\dataset\hair\data\dreadlocks\image109.jpg,1
D:\dataset\hair\data\dreadlocks\image11.jpg,1
D:\dataset\hair\data\dreadlocks\image110.jpg,1
D:\dataset\hair\data\dreadlocks\image111.jpg,1
D:\dataset\hair\data\dreadlocks\image112.jpg,1
D:\dataset\hair\data\dreadlocks\image113.jpg,1
D:\dataset\hair\data\dreadlocks\image114.jpg,1
D:\dataset\hair\data\dreadlocks\image115.jpg,1
D:\dataset\hair\data\dreadlocks\image116.jpg,1
D:\dataset\hair\data\dreadlocks\image118.jpg,1
D:\dataset\hair\data\dreadlocks\image120.jpg,1
D:\dataset\hair\data\dreadlocks\image121.jpg,1
D:\dataset\hair\data\dreadlocks\image122.jpg,1
D:\dataset\hair\data\dreadlocks\image123.jpg,1
D:\dataset\hair\data\dreadlocks\image125.jpg,1
D:\dataset\hair\data\dreadlocks\image126.jpg,1
D:\dataset\hair\data\dreadlocks\image127.jpg,1
D:\dataset\hair\data\dreadlocks\image128.jpg,1
D:\dataset\hair\data\dreadlocks\image129.jpg,1
D:\dataset\hair\data\dreadlocks\image13.jpg,1
D:\dataset\hair\data\dreadlocks\image130.jpg,1
D:\dataset\hair\data\dreadlocks\image131.jpg,1
D:\dataset\hair\data\dreadlocks\image132.jpg,1
D:\dataset\hair\data\dreadlocks\image133.jpg,1
D:\dataset\hair\data\dreadlocks\image136.jpg,1
D:\dataset\hair\data\dreadlocks\image138.jpg,1
D:\dataset\hair\data\dreadlocks\image139.jpg,1
D:\dataset\hair\data\dreadlocks\image141.jpg,1
D:\dataset\hair\data\dreadlocks\image142.jpg,1
D:\dataset\hair\data\dreadlocks\image144.jpg,1
D:\dataset\hair\data\dreadlocks\image146.jpg,1
D:\dataset\hair\data\dreadlocks\image147.jpg,1
D:\dataset\hair\data\dreadlocks\image148.jpg,1
D:\dataset\hair\data\dreadlocks\image149.jpg,1
D:\dataset\hair\data\dreadlocks\image15.jpg,1
D:\dataset\hair\data\dreadlocks\image150.jpg,1
D:\dataset\hair\data\dreadlocks\image152.jpg,1
D:\dataset\hair\data\dreadlocks\image153.jpg,1
D:\dataset\hair\data\dreadlocks\image154.jpg,1
D:\dataset\hair\data\dreadlocks\image155.jpg,1
D:\dataset\hair\data\dreadlocks\image156.jpg,1
D:\dataset\hair\data\dreadlocks\image157.jpg,1
D:\dataset\hair\data\dreadlocks\image158.jpg,1
D:\dataset\hair\data\dreadlocks\image159.jpg,1
D:\dataset\hair\data\dreadlocks\image16.jpg,1
D:\dataset\hair\data\dreadlocks\image160.jpg,1
D:\dataset\hair\data\dreadlocks\image161.jpg,1
D:\dataset\hair\data\dreadlocks\image162.jpg,1
D:\dataset\hair\data\dreadlocks\image163.jpg,1
D:\dataset\hair\data\dreadlocks\image164.jpg,1
D:\dataset\hair\data\dreadlocks\image165.jpg,1
D:\dataset\hair\data\dreadlocks\image166.jpg,1
D:\dataset\hair\data\dreadlocks\image167.jpg,1
D:\dataset\hair\data\dreadlocks\image168.jpg,1
D:\dataset\hair\data\dreadlocks\image169.jpg,1
D:\dataset\hair\data\dreadlocks\image17.jpg,1
D:\dataset\hair\data\dreadlocks\image170.jpg,1
D:\dataset\hair\data\dreadlocks\image171.jpg,1
D:\dataset\hair\data\dreadlocks\image172.jpg,1
D:\dataset\hair\data\dreadlocks\image173.jpg,1
D:\dataset\hair\data\dreadlocks\image174.jpg,1
D:\dataset\hair\data\dreadlocks\image175.jpg,1
D:\dataset\hair\data\dreadlocks\image176.jpg,1
D:\dataset\hair\data\dreadlocks\image18.jpg,1
D:\dataset\hair\data\dreadlocks\image182.jpg,1
D:\dataset\hair\data\dreadlocks\image183.jpg,1
D:\dataset\hair\data\dreadlocks\image184.jpg,1
D:\dataset\hair\data\dreadlocks\image186.jpg,1
D:\dataset\hair\data\dreadlocks\image187.jpg,1
D:\dataset\hair\data\dreadlocks\image188.jpg,1
D:\dataset\hair\data\dreadlocks\image189.jpg,1
D:\dataset\hair\data\dreadlocks\image19.jpg,1
D:\dataset\hair\data\dreadlocks\image190.jpg,1
D:\dataset\hair\data\dreadlocks\image191.jpg,1
D:\dataset\hair\data\dreadlocks\image193.jpg,1
D:\dataset\hair\data\dreadlocks\image194.jpg,1
D:\dataset\hair\data\dreadlocks\image195.jpg,1
D:\dataset\hair\data\dreadlocks\image197.jpg,1
D:\dataset\hair\data\dreadlocks\image198.jpg,1
D:\dataset\hair\data\dreadlocks\image2.jpg,1
D:\dataset\hair\data\dreadlocks\image20.jpg,1
D:\dataset\hair\data\dreadlocks\image200.jpg,1
D:\dataset\hair\data\dreadlocks\image201.jpg,1
D:\dataset\hair\data\dreadlocks\image202.jpg,1
D:\dataset\hair\data\dreadlocks\image203.jpg,1
D:\dataset\hair\data\dreadlocks\image206.jpg,1
D:\dataset\hair\data\dreadlocks\image208.jpg,1
D:\dataset\hair\data\dreadlocks\image209.jpg,1
D:\dataset\hair\data\dreadlocks\image21.jpg,1
D:\dataset\hair\data\dreadlocks\image211.jpg,1
D:\dataset\hair\data\dreadlocks\image212.jpg,1
D:\dataset\hair\data\dreadlocks\image213.jpg,1
D:\dataset\hair\data\dreadlocks\image214.jpg,1
D:\dataset\hair\data\dreadlocks\image215.jpg,1
D:\dataset\hair\data\dreadlocks\image216.jpg,1
D:\dataset\hair\data\dreadlocks\image217.jpg,1
D:\dataset\hair\data\dreadlocks\image218.jpg,1
D:\dataset\hair\data\dreadlocks\image219.jpg,1
D:\dataset\hair\data\dreadlocks\image22.jpg,1
D:\dataset\hair\data\dreadlocks\image220.jpg,1
D:\dataset\hair\data\dreadlocks\image221.jpg,1
D:\dataset\hair\data\dreadlocks\image223.jpg,1
D:\dataset\hair\data\dreadlocks\image224.jpg,1
D:\dataset\hair\data\dreadlocks\image225.jpg,1
D:\dataset\hair\data\dreadlocks\image226.jpg,1
D:\dataset\hair\data\dreadlocks\image228.jpg,1
D:\dataset\hair\data\dreadlocks\image229.jpg,1
D:\dataset\hair\data\dreadlocks\image23.jpg,1
D:\dataset\hair\data\dreadlocks\image230.jpg,1
D:\dataset\hair\data\dreadlocks\image231.jpg,1
D:\dataset\hair\data\dreadlocks\image232.jpg,1
D:\dataset\hair\data\dreadlocks\image233.jpg,1
D:\dataset\hair\data\dreadlocks\image234.jpg,1
D:\dataset\hair\data\dreadlocks\image235.jpg,1
D:\dataset\hair\data\dreadlocks\image236.jpg,1
D:\dataset\hair\data\dreadlocks\image237.jpg,1
D:\dataset\hair\data\dreadlocks\image238.jpg,1
D:\dataset\hair\data\dreadlocks\image239.jpg,1
D:\dataset\hair\data\dreadlocks\image240.jpg,1
D:\dataset\hair\data\dreadlocks\image242.jpg,1
D:\dataset\hair\data\dreadlocks\image245.jpg,1
D:\dataset\hair\data\dreadlocks\image246.jpg,1
D:\dataset\hair\data\dreadlocks\image247.jpg,1
D:\dataset\hair\data\dreadlocks\image248.jpg,1
D:\dataset\hair\data\dreadlocks\image249.jpg,1
D:\dataset\hair\data\dreadlocks\image25.jpeg,1
D:\dataset\hair\data\dreadlocks\image25.jpg,1
D:\dataset\hair\data\dreadlocks\image250.jpg,1
D:\dataset\hair\data\dreadlocks\image251.jpg,1
D:\dataset\hair\data\dreadlocks\image252.jpg,1
D:\dataset\hair\data\dreadlocks\image254.jpg,1
D:\dataset\hair\data\dreadlocks\image255.jpg,1
D:\dataset\hair\data\dreadlocks\image256.jpg,1
D:\dataset\hair\data\dreadlocks\image258.jpg,1
D:\dataset\hair\data\dreadlocks\image259.jpg,1
D:\dataset\hair\data\dreadlocks\image26.jpg,1
D:\dataset\hair\data\dreadlocks\image260.jpg,1
D:\dataset\hair\data\dreadlocks\image261.jpg,1
D:\dataset\hair\data\dreadlocks\image262.jpg,1
D:\dataset\hair\data\dreadlocks\image263.jpg,1
D:\dataset\hair\data\dreadlocks\image265.jpg,1
D:\dataset\hair\data\dreadlocks\image266.jpg,1
D:\dataset\hair\data\dreadlocks\image267.jpg,1
D:\dataset\hair\data\dreadlocks\image268.jpg,1
D:\dataset\hair\data\dreadlocks\image269.jpg,1
D:\dataset\hair\data\dreadlocks\image27.jpg,1
D:\dataset\hair\data\dreadlocks\image271.jpg,1
D:\dataset\hair\data\dreadlocks\image273.jpg,1
D:\dataset\hair\data\dreadlocks\image275.jpg,1
D:\dataset\hair\data\dreadlocks\image278.jpg,1
D:\dataset\hair\data\dreadlocks\image279.jpg,1
D:\dataset\hair\data\dreadlocks\image28.jpg,1
D:\dataset\hair\data\dreadlocks\image280.jpg,1
D:\dataset\hair\data\dreadlocks\image281.jpg,1
D:\dataset\hair\data\dreadlocks\image282.jpg,1
D:\dataset\hair\data\dreadlocks\image283.jpg,1
D:\dataset\hair\data\dreadlocks\image284.jpg,1
D:\dataset\hair\data\dreadlocks\image285.jpg,1
D:\dataset\hair\data\dreadlocks\image286.jpg,1
D:\dataset\hair\data\dreadlocks\image287.jpg,1
D:\dataset\hair\data\dreadlocks\image288.jpg,1
D:\dataset\hair\data\dreadlocks\image289.jpg,1
D:\dataset\hair\data\dreadlocks\image29.jpg,1
D:\dataset\hair\data\dreadlocks\image290.jpg,1
D:\dataset\hair\data\dreadlocks\image291.jpg,1
D:\dataset\hair\data\dreadlocks\image292.jpg,1
D:\dataset\hair\data\dreadlocks\image293.jpg,1
D:\dataset\hair\data\dreadlocks\image294.jpg,1
D:\dataset\hair\data\dreadlocks\image295.jpg,1
D:\dataset\hair\data\dreadlocks\image296.jpg,1
D:\dataset\hair\data\dreadlocks\image297.jpg,1
D:\dataset\hair\data\dreadlocks\image298.jpg,1
D:\dataset\hair\data\dreadlocks\image299.jpg,1
D:\dataset\hair\data\dreadlocks\image3.jpg,1
D:\dataset\hair\data\dreadlocks\image30.jpg,1
D:\dataset\hair\data\dreadlocks\image300.jpg,1
D:\dataset\hair\data\dreadlocks\image302.jpg,1
D:\dataset\hair\data\dreadlocks\image303.jpg,1
D:\dataset\hair\data\dreadlocks\image304.jpg,1
D:\dataset\hair\data\dreadlocks\image305.jpg,1
D:\dataset\hair\data\dreadlocks\image306.jpg,1
D:\dataset\hair\data\dreadlocks\image307.jpg,1
D:\dataset\hair\data\dreadlocks\image308.jpg,1
D:\dataset\hair\data\dreadlocks\image309.jpg,1
D:\dataset\hair\data\dreadlocks\image31.jpeg,1
D:\dataset\hair\data\dreadlocks\image31.jpg,1
D:\dataset\hair\data\dreadlocks\image310.jpg,1
D:\dataset\hair\data\dreadlocks\image312.jpg,1
D:\dataset\hair\data\dreadlocks\image313.jpg,1
D:\dataset\hair\data\dreadlocks\image314.jpg,1
D:\dataset\hair\data\dreadlocks\image315.jpg,1
D:\dataset\hair\data\dreadlocks\image317.jpg,1
D:\dataset\hair\data\dreadlocks\image318.jpg,1
D:\dataset\hair\data\dreadlocks\image319.jpg,1
D:\dataset\hair\data\dreadlocks\image32.jpeg,1
D:\dataset\hair\data\dreadlocks\image32.jpg,1
D:\dataset\hair\data\dreadlocks\image320.jpg,1
D:\dataset\hair\data\dreadlocks\image321.jpg,1
D:\dataset\hair\data\dreadlocks\image322.jpg,1
D:\dataset\hair\data\dreadlocks\image323.jpg,1
D:\dataset\hair\data\dreadlocks\image324.jpg,1
D:\dataset\hair\data\dreadlocks\image325.jpg,1
D:\dataset\hair\data\dreadlocks\image326.jpg,1
D:\dataset\hair\data\dreadlocks\image327.jpg,1
D:\dataset\hair\data\dreadlocks\image328.jpg,1
D:\dataset\hair\data\dreadlocks\image33.jpg,1
D:\dataset\hair\data\dreadlocks\image330.jpg,1
D:\dataset\hair\data\dreadlocks\image331.jpg,1
D:\dataset\hair\data\dreadlocks\image333.jpg,1
D:\dataset\hair\data\dreadlocks\image334.jpg,1
D:\dataset\hair\data\dreadlocks\image335.jpg,1
D:\dataset\hair\data\dreadlocks\image336.jpg,1
D:\dataset\hair\data\dreadlocks\image339.jpg,1
D:\dataset\hair\data\dreadlocks\image34.jpg,1
D:\dataset\hair\data\dreadlocks\image340.jpg,1
D:\dataset\hair\data\dreadlocks\image341.jpg,1
D:\dataset\hair\data\dreadlocks\image3411.jpg,1
D:\dataset\hair\data\dreadlocks\image343.jpg,1
D:\dataset\hair\data\dreadlocks\image344.jpg,1
D:\dataset\hair\data\dreadlocks\image345.jpg,1
D:\dataset\hair\data\dreadlocks\image346.jpg,1
D:\dataset\hair\data\dreadlocks\image347.jpg,1
D:\dataset\hair\data\dreadlocks\image349.jpg,1
D:\dataset\hair\data\dreadlocks\image35.jpg,1
D:\dataset\hair\data\dreadlocks\image350.jpg,1
D:\dataset\hair\data\dreadlocks\image351.jpg,1
D:\dataset\hair\data\dreadlocks\image352.jpg,1
D:\dataset\hair\data\dreadlocks\image353.jpg,1
D:\dataset\hair\data\dreadlocks\image355.jpg,1
D:\dataset\hair\data\dreadlocks\image356.jpg,1
D:\dataset\hair\data\dreadlocks\image357.jpg,1
D:\dataset\hair\data\dreadlocks\image359.jpg,1
D:\dataset\hair\data\dreadlocks\image35_1.jpg,1
D:\dataset\hair\data\dreadlocks\image36.jpg,1
D:\dataset\hair\data\dreadlocks\image37.jpg,1
D:\dataset\hair\data\dreadlocks\image38.jpg,1
D:\dataset\hair\data\dreadlocks\image39.jpg,1
D:\dataset\hair\data\dreadlocks\image4.jpg,1
D:\dataset\hair\data\dreadlocks\image40.jpg,1
D:\dataset\hair\data\dreadlocks\image41.jpg,1
D:\dataset\hair\data\dreadlocks\image42.jpg,1
D:\dataset\hair\data\dreadlocks\image43.jpg,1
D:\dataset\hair\data\dreadlocks\image44.jpg,1
D:\dataset\hair\data\dreadlocks\image47.jpg,1
D:\dataset\hair\data\dreadlocks\image48.jpg,1
D:\dataset\hair\data\dreadlocks\image49.jpg,1
D:\dataset\hair\data\dreadlocks\image5.jpg,1
D:\dataset\hair\data\dreadlocks\image50.jpg,1
D:\dataset\hair\data\dreadlocks\image51.jpg,1
D:\dataset\hair\data\dreadlocks\image54.jpg,1
D:\dataset\hair\data\dreadlocks\image55.jpg,1
D:\dataset\hair\data\dreadlocks\image58.jpg,1
D:\dataset\hair\data\dreadlocks\image59.jpg,1
D:\dataset\hair\data\dreadlocks\image60.jpg,1
D:\dataset\hair\data\dreadlocks\image61.jpg,1
D:\dataset\hair\data\dreadlocks\image62.jpg,1
D:\dataset\hair\data\dreadlocks\image64.jpg,1
D:\dataset\hair\data\dreadlocks\image65.jpg,1
D:\dataset\hair\data\dreadlocks\image66.jpg,1
D:\dataset\hair\data\dreadlocks\image67.jpg,1
D:\dataset\hair\data\dreadlocks\image68.jpg,1
D:\dataset\hair\data\dreadlocks\image69.jpg,1
D:\dataset\hair\data\dreadlocks\image7.jpg,1
D:\dataset\hair\data\dreadlocks\image70.jpg,1
D:\dataset\hair\data\dreadlocks\image71.jpg,1
D:\dataset\hair\data\dreadlocks\image71_1.jpg,1
D:\dataset\hair\data\dreadlocks\image72.jpg,1
D:\dataset\hair\data\dreadlocks\image73.jpg,1
D:\dataset\hair\data\dreadlocks\image74.jpg,1
D:\dataset\hair\data\dreadlocks\image75.jpg,1
D:\dataset\hair\data\dreadlocks\image76.jpg,1
D:\dataset\hair\data\dreadlocks\image77.jpg,1
D:\dataset\hair\data\dreadlocks\image78.jpg,1
D:\dataset\hair\data\dreadlocks\image79.jpg,1
D:\dataset\hair\data\dreadlocks\image8.jpg,1
D:\dataset\hair\data\dreadlocks\image80.jpg,1
D:\dataset\hair\data\dreadlocks\image83.jpg,1
D:\dataset\hair\data\dreadlocks\image84.jpg,1
D:\dataset\hair\data\dreadlocks\image85.jpg,1
D:\dataset\hair\data\dreadlocks\image87.jpg,1
D:\dataset\hair\data\dreadlocks\image89.jpg,1
D:\dataset\hair\data\dreadlocks\image9.jpg,1
D:\dataset\hair\data\dreadlocks\image91.jpg,1
D:\dataset\hair\data\dreadlocks\image92.jpg,1
D:\dataset\hair\data\dreadlocks\image92_1.jpg,1
D:\dataset\hair\data\dreadlocks\image93.jpg,1
D:\dataset\hair\data\dreadlocks\image94.jpg,1
D:\dataset\hair\data\dreadlocks\image96.jpg,1
D:\dataset\hair\data\dreadlocks\image98.jpg,1
D:\dataset\hair\data\dreadlocks\images100.jpg,1
D:\dataset\hair\data\dreadlocks\images106.jpg,1
D:\dataset\hair\data\dreadlocks\images109.jpg,1
D:\dataset\hair\data\dreadlocks\images11.jpg,1
D:\dataset\hair\data\dreadlocks\images114.jpg,1
D:\dataset\hair\data\dreadlocks\images123.jpg,1
D:\dataset\hair\data\dreadlocks\images13.jpg,1
D:\dataset\hair\data\dreadlocks\images134.jpg,1
D:\dataset\hair\data\dreadlocks\images135.jpg,1
D:\dataset\hair\data\dreadlocks\images136.jpg,1
D:\dataset\hair\data\dreadlocks\images138.jpg,1
D:\dataset\hair\data\dreadlocks\images139.jpg,1
D:\dataset\hair\data\dreadlocks\images140.jpg,1
D:\dataset\hair\data\dreadlocks\images141.jpg,1
D:\dataset\hair\data\dreadlocks\images142.jpg,1
D:\dataset\hair\data\dreadlocks\images143.jpg,1
D:\dataset\hair\data\dreadlocks\images145.jpg,1
D:\dataset\hair\data\dreadlocks\images150.jpg,1
D:\dataset\hair\data\dreadlocks\images152.jpg,1
D:\dataset\hair\data\dreadlocks\images153.jpg,1
D:\dataset\hair\data\dreadlocks\images155.jpg,1
D:\dataset\hair\data\dreadlocks\images156.jpg,1
D:\dataset\hair\data\dreadlocks\images157.jpg,1
D:\dataset\hair\data\dreadlocks\images158.jpg,1
D:\dataset\hair\data\dreadlocks\images160.jpg,1
D:\dataset\hair\data\dreadlocks\images161.jpg,1
D:\dataset\hair\data\dreadlocks\images162.jpg,1
D:\dataset\hair\data\dreadlocks\images164.jpg,1
D:\dataset\hair\data\dreadlocks\images165.jpg,1
D:\dataset\hair\data\dreadlocks\images166.jpg,1
D:\dataset\hair\data\dreadlocks\images167.jpg,1
D:\dataset\hair\data\dreadlocks\images168.jpg,1
D:\dataset\hair\data\dreadlocks\images18.jpg,1
D:\dataset\hair\data\dreadlocks\images19.jpg,1
D:\dataset\hair\data\dreadlocks\images23.jpg,1
D:\dataset\hair\data\dreadlocks\images27.jpg,1
D:\dataset\hair\data\dreadlocks\images3.jpg,1
